task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
50	fc/538682	2740512	pipeline:deNovoPipeline_spoa:bamstatsDraft (2)	COMPLETED	0	2026-03-18 23:23:31.200	298ms	102ms	104.8%	34.6 MB	452.9 MB	2.8 MB	258.7 KB
51	42/4d04c3	2740740	pipeline:deNovoPipeline_spoa:mosdepthPerBase (2)	COMPLETED	0	2026-03-18 23:23:31.501	196ms	13ms	125.0%	2.8 MB	3.8 MB	3 MB	41.8 KB
53	93/b6f0e9	2740999	pipeline:deNovoPipeline_spoa:medakaStitch (1)	COMPLETED	0	2026-03-18 23:23:31.701	2s	1.8s	100.2%	272.9 MB	703.4 MB	33.9 MB	19.7 KB
54	7d/989204	2741410	pipeline:deNovoPipeline_spoa:medakaStitch (2)	COMPLETED	0	2026-03-18 23:23:33.748	2.1s	1.8s	100.8%	272.9 MB	703.6 MB	33.9 MB	19.8 KB
55	a5/9a9e03	2741855	pipeline:deNovoPipeline_spoa:trimAndQC (1)	COMPLETED	0	2026-03-18 23:23:35.804	1.2s	1s	121.9%	10 MB	14.3 MB	11.3 MB	8.9 MB
56	fe/8c61ff	2742026	pipeline:deNovoPipeline_spoa:trimAndQC (2)	COMPLETED	0	2026-03-18 23:23:36.809	1.3s	1.1s	116.9%	77 MB	1.3 GB	11.3 MB	8.9 MB
35	8e/2e39f2	2729510	pipeline:deNovoPipeline_asm:miniasm (8)	COMPLETED	0	2026-03-18 23:22:03.577	2m 36s	2m 36s	295.9%	906.3 MB	1.3 GB	1 GB	1 GB
45	ae/e892ab	2746180	pipeline:deNovoPipeline_asm:alignDraft (1)	COMPLETED	0	2026-03-18 23:24:39.906	480ms	295ms	280.9%	11.6 MB	375.6 MB	19.6 MB	15.7 MB
60	46/6ba731	2746467	pipeline:deNovoPipeline_asm:mosdepthPerBase (1)	COMPLETED	0	2026-03-18 23:24:40.397	208ms	17ms	157.9%	5.9 MB	17.2 MB	4.4 MB	28.4 KB
49	24/cd835f	2746460	pipeline:deNovoPipeline_asm:alignDraft (2)	COMPLETED	0	2026-03-18 23:24:40.391	470ms	285ms	276.2%	12.1 MB	303.4 MB	18.7 MB	15 MB
61	90/b34abe	2746865	pipeline:deNovoPipeline_asm:bamstatsDraft (1)	COMPLETED	0	2026-03-18 23:24:40.610	380ms	185ms	107.0%	43.7 MB	452.9 MB	4.2 MB	536.8 KB
57	a2/71cea4	2747088	pipeline:deNovoPipeline_spoa:alignPolished (1)	COMPLETED	0	2026-03-18 23:24:40.866	422ms	219ms	267.9%	11.6 MB	375.6 MB	11.8 MB	9.3 MB
58	80/6e63f3	2747601	pipeline:deNovoPipeline_spoa:alignPolished (2)	COMPLETED	0	2026-03-18 23:24:41.292	427ms	254ms	293.0%	11.8 MB	311.6 MB	12.4 MB	9.8 MB
62	53/a20873	2747240	pipeline:deNovoPipeline_asm:medakaInference (1)	COMPLETED	0	2026-03-18 23:24:40.994	3.6s	3.4s	105.2%	396.7 MB	1.1 GB	42.3 MB	1.7 MB
65	92/7b8001	2748478	pipeline:deNovoPipeline_asm:bamstatsDraft (2)	COMPLETED	0	2026-03-18 23:24:44.576	390ms	191ms	107.7%	35 MB	452.9 MB	4.2 MB	608.4 KB
59	4c/bca820	2747858	pipeline:deNovoPipeline_asm:racon (3)	COMPLETED	0	2026-03-18 23:24:41.723	5.2s	5s	251.6%	78.1 MB	394.9 MB	9.3 MB	615.4 KB
63	f0/6b6fb4	2749107	pipeline:deNovoPipeline_asm:mosdepthPerBase (2)	COMPLETED	0	2026-03-18 23:24:46.901	200ms	15ms	157.9%	6 MB	17.3 MB	4.4 MB	30.8 KB
67	63/8a8870	2749114	pipeline:deNovoPipeline_spoa:bamstatsPolished (1)	COMPLETED	0	2026-03-18 23:24:46.905	367ms	174ms	101.7%	30.3 MB	389.8 MB	2.7 MB	214.9 KB
66	92/fe3639	2749483	pipeline:deNovoPipeline_spoa:mosdepthWindows (1)	COMPLETED	0	2026-03-18 23:24:47.106	215ms	16ms	157.9%	2.8 MB	3.8 MB	2.8 MB	33.6 KB
69	a1/0de53b	2749858	pipeline:deNovoPipeline_spoa:mosdepthWindows (2)	COMPLETED	0	2026-03-18 23:24:47.326	200ms	17ms	136.4%	2.7 MB	3.8 MB	3 MB	34 KB
68	5a/67579e	2749785	pipeline:deNovoPipeline_spoa:bamstatsPolished (2)	COMPLETED	0	2026-03-18 23:24:47.276	357ms	168ms	101.8%	34.4 MB	452.9 MB	2.8 MB	258.5 KB
64	77/4a5b9a	2748742	pipeline:deNovoPipeline_asm:medakaInference (2)	COMPLETED	0	2026-03-18 23:24:44.970	3.1s	2.9s	102.9%	398.9 MB	1.1 GB	42.3 MB	1.8 MB
71	8b/d99cde	2750432	pipeline:deNovoPipeline_asm:alignDraft (3)	COMPLETED	0	2026-03-18 23:24:48.033	506ms	328ms	288.8%	11.7 MB	311.6 MB	21.9 MB	17.5 MB
70	48/827994	2750180	pipeline:deNovoPipeline_asm:medakaStitch (1)	COMPLETED	0	2026-03-18 23:24:47.531	1.8s	1.6s	101.7%	297.6 MB	736.4 MB	33.8 MB	11.7 KB
73	a5/b1b470	2751055	pipeline:deNovoPipeline_asm:mosdepthPerBase (3)	COMPLETED	0	2026-03-18 23:24:49.334	199ms	17ms	142.9%	5.8 MB	17.2 MB	4.9 MB	29.8 KB
74	5a/6609a8	2751265	pipeline:deNovoPipeline_asm:bamstatsDraft (3)	COMPLETED	0	2026-03-18 23:24:49.538	387ms	187ms	105.8%	44.1 MB	453.8 MB	4.7 MB	607.9 KB
72	78/757dd4	2750692	pipeline:deNovoPipeline_asm:medakaStitch (2)	COMPLETED	0	2026-03-18 23:24:48.543	1.8s	1.6s	100.7%	285.2 MB	716.3 MB	33.9 MB	10.4 KB
76	d3/b34eb1	2751687	pipeline:deNovoPipeline_asm:trimAndQC (1)	COMPLETED	0	2026-03-18 23:24:49.930	1.1s	939ms	131.1%	10.1 MB	14.3 MB	11.3 MB	8.9 MB
77	6a/ab7514	2751903	pipeline:deNovoPipeline_asm:trimAndQC (2)	COMPLETED	0	2026-03-18 23:24:50.379	1.2s	964ms	130.1%	10.2 MB	14.3 MB	11.3 MB	8.9 MB
78	76/f8cc48	2752179	pipeline:deNovoPipeline_asm:alignPolished (1)	COMPLETED	0	2026-03-18 23:24:51.074	502ms	292ms	285.2%	11.6 MB	247.6 MB	19.5 MB	15.6 MB
79	92/07028c	2752537	pipeline:deNovoPipeline_asm:alignPolished (2)	COMPLETED	0	2026-03-18 23:24:51.581	467ms	283ms	279.2%	11.5 MB	375.6 MB	18.7 MB	15 MB
80	18/9c839e	2752859	pipeline:deNovoPipeline_asm:mosdepthWindows (1)	COMPLETED	0	2026-03-18 23:24:52.058	201ms	21ms	166.7%	2.7 MB	3.8 MB	4.4 MB	28.6 KB
81	f8/44e071	2752849	pipeline:deNovoPipeline_asm:bamstatsPolished (1)	COMPLETED	0	2026-03-18 23:24:52.053	372ms	183ms	108.7%	39.7 MB	452.9 MB	4.2 MB	531.7 KB
75	fc/de69ae	2751274	pipeline:deNovoPipeline_asm:medakaInference (3)	COMPLETED	0	2026-03-18 23:24:49.543	2.9s	2.7s	105.8%	380.4 MB	1.1 GB	42.8 MB	1.7 MB
82	d2/4696ad	2753199	pipeline:deNovoPipeline_asm:mosdepthWindows (2)	COMPLETED	0	2026-03-18 23:24:52.264	211ms	21ms	120.0%	2.8 MB	3.8 MB	4.4 MB	32.6 KB
83	4f/cc56c7	2753492	pipeline:deNovoPipeline_asm:bamstatsPolished (2)	COMPLETED	0	2026-03-18 23:24:52.432	381ms	190ms	108.8%	32.7 MB	452.9 MB	4.2 MB	605.6 KB
84	8a/08f180	2753577	pipeline:deNovoPipeline_asm:medakaStitch (3)	COMPLETED	0	2026-03-18 23:24:52.480	1.8s	1.6s	99.9%	305.8 MB	741.6 MB	33.8 MB	11.7 KB
85	20/d58cc7	2754094	pipeline:deNovoPipeline_asm:trimAndQC (3)	COMPLETED	0	2026-03-18 23:24:54.263	1.1s	926ms	146.6%	10.1 MB	14.3 MB	11.3 MB	8.9 MB
86	f3/b5dfc4	2754313	pipeline:deNovoPipeline_asm:alignPolished (3)	COMPLETED	0	2026-03-18 23:24:55.393	507ms	332ms	272.5%	11.6 MB	375.6 MB	21.9 MB	17.5 MB
87	9d/38b31f	2754575	pipeline:deNovoPipeline_asm:mosdepthWindows (3)	COMPLETED	0	2026-03-18 23:24:55.910	212ms	23ms	148.1%	2.8 MB	3.8 MB	5 MB	30.2 KB
88	ea/c0536b	2754583	pipeline:deNovoPipeline_asm:bamstatsPolished (3)	COMPLETED	0	2026-03-18 23:24:55.914	376ms	197ms	110.0%	30.8 MB	389.8 MB	4.7 MB	603.2 KB
44	f6/af329b	2738421	pipeline:deNovoPipeline_spoa:spoa (5)	COMPLETED	0	2026-03-18 23:23:23.283	6m 54s	6m 54s	100.1%	681 MB	1.1 GB	7.9 MB	2.3 KB
89	94/e03d1b	2764912	pipeline:deNovoPipeline_spoa:alignDraft (3)	COMPLETED	0	2026-03-18 23:30:17.775	504ms	337ms	295.9%	11.7 MB	375.6 MB	20.2 MB	16.2 MB
90	1c/2cb39e	2765252	pipeline:deNovoPipeline_spoa:mosdepthPerBase (3)	COMPLETED	0	2026-03-18 23:30:18.292	204ms	18ms	125.0%	5.9 MB	17.2 MB	4.7 MB	29.9 KB
91	38/16b0be	2765242	pipeline:deNovoPipeline_spoa:bamstatsDraft (3)	COMPLETED	0	2026-03-18 23:30:18.287	382ms	196ms	105.5%	31.2 MB	452.9 MB	4.5 MB	656.5 KB
92	89/50803b	2765271	pipeline:deNovoPipeline_spoa:medakaInference (3)	COMPLETED	0	2026-03-18 23:30:18.296	2.8s	2.6s	106.4%	409.3 MB	1.1 GB	42.6 MB	1.8 MB
93	fa/7dabcd	2766026	pipeline:deNovoPipeline_spoa:medakaStitch (3)	COMPLETED	0	2026-03-18 23:30:21.083	1.6s	1.4s	101.3%	310.1 MB	753.6 MB	33.9 MB	11.4 KB
94	2e/c0409a	2766290	pipeline:deNovoPipeline_spoa:trimAndQC (3)	COMPLETED	0	2026-03-18 23:30:22.722	1.1s	883ms	161.4%	10.1 MB	14.3 MB	11.3 MB	8.9 MB
95	1c/4765a5	2766561	pipeline:deNovoPipeline_spoa:alignPolished (3)	COMPLETED	0	2026-03-18 23:30:23.795	469ms	295ms	279.5%	11.5 MB	375.6 MB	20.2 MB	16.2 MB
97	79/c0f4b3	2766830	pipeline:deNovoPipeline_spoa:mosdepthWindows (3)	COMPLETED	0	2026-03-18 23:30:24.276	215ms	22ms	160.0%	2.9 MB	3.8 MB	4.7 MB	32.6 KB
96	c5/1b97cf	2766823	pipeline:deNovoPipeline_spoa:bamstatsPolished (3)	COMPLETED	0	2026-03-18 23:30:24.272	384ms	187ms	109.4%	33.7 MB	452.9 MB	4.5 MB	655.5 KB
38	8d/22e48c	2728169	pipeline:deNovoPipeline_spoa:spoa (3)	COMPLETED	0	2026-03-18 23:21:52.454	8m 53s	8m 53s	100.1%	2.2 GB	3.4 GB	8.5 MB	4.2 KB
98	58/325120	2767704	pipeline:deNovoPipeline_spoa:alignDraft (4)	COMPLETED	0	2026-03-18 23:30:45.328	494ms	327ms	281.3%	11.5 MB	375.6 MB	21.8 MB	17.2 MB
99	34/8b270a	2767988	pipeline:deNovoPipeline_spoa:mosdepthPerBase (4)	COMPLETED	0	2026-03-18 23:30:45.832	209ms	20ms	125.0%	6.1 MB	17.2 MB	5 MB	41.1 KB
100	e0/2bdf96	2767980	pipeline:deNovoPipeline_spoa:bamstatsDraft (4)	COMPLETED	0	2026-03-18 23:30:45.828	373ms	183ms	107.0%	37.5 MB	452.9 MB	4.9 MB	317.9 KB
101	85/6c8535	2768004	pipeline:deNovoPipeline_spoa:medakaInference (4)	COMPLETED	0	2026-03-18 23:30:45.835	2.8s	2.6s	108.3%	416.6 MB	1.1 GB	42.8 MB	1.9 MB
102	95/58447d	2768764	pipeline:deNovoPipeline_spoa:medakaStitch (4)	COMPLETED	0	2026-03-18 23:30:48.645	1.5s	1.4s	100.7%	325.2 MB	902 MB	34 MB	19.4 KB
103	76/91e2a9	2769027	pipeline:deNovoPipeline_spoa:trimAndQC (4)	COMPLETED	0	2026-03-18 23:30:50.188	1s	812ms	175.5%	10.3 MB	14.3 MB	11.3 MB	8.9 MB
104	02/2cc4d7	2769248	pipeline:deNovoPipeline_spoa:alignPolished (4)	COMPLETED	0	2026-03-18 23:30:51.198	491ms	326ms	278.8%	11.6 MB	247.6 MB	21.8 MB	17.2 MB
105	6a/7d8785	2769514	pipeline:deNovoPipeline_spoa:mosdepthWindows (4)	COMPLETED	0	2026-03-18 23:30:51.698	192ms	22ms	120.0%	2.7 MB	3.8 MB	5.2 MB	31.4 KB
106	31/0d22a9	2769508	pipeline:deNovoPipeline_spoa:bamstatsPolished (4)	COMPLETED	0	2026-03-18 23:30:51.696	347ms	178ms	109.3%	37.2 MB	452.9 MB	4.9 MB	317.9 KB
